key (EN source),AM translation,first seen at,status
Not yet,ገና,components/PairingScreen.tsx:287,translated
Not yet is a good answer,ገና መልካም ምልስ ነው,components/PairingScreen.tsx:54,translated
Not yet — keep chatting,ገና — ቻትን ይቀጥሉ,components/PairingScreen.tsx:336,translated
Occupation,ሥራ,onboarding/PublicPreview.tsx:40,translated
One final simultaneous step and the reveal begins.,አንድ የመጨረሻ የጋራ ደረጃ ብቻ ቀርብቷል — ከዚያ መገለጫው ይጀመራል ።,components/PairingScreen.tsx:45,translated
One introduction is with the admin,አንድ ትውውቅ በአስተዳዳሪ እጅ ላይ ነው,components/ConnectionsScreen.tsx:173,translated
One last step,አንድ የመጨረሻ ደረጃ,components/PairingScreen.tsx:328,translated
One last step from them,ከእሳቸው አንድ የመጨረሻ ደረጃ,components/PairingScreen.tsx:250,translated
One last step from you,ከእርስዎ አንድ የመጨረሻ ደረጃ,components/PairingScreen.tsx:249,translated
One-sided interest is never disclosed.,የአንድ ወገን ፍላጎት በፍጹም አይግለጽም ።,components/DiscoverScreen.tsx:194,translated
"Only accepted introductions reach here. One-sided decisions are never shown, and no identity is shared until everyone confirms and an administrator approves.",የተቀበሉት ትውውቆክ ብቻ እዚህ ይደርሳሉ ። የአንድ ወገን ውሳኔኦክ በፍጹም አይታዩም ። ሁሉም እስኪያረጋግጡና አስተዳዳሪ እስኪጸድቅ ድረስም ምንም ማንነት አይጋራም ።,components/ConnectionsScreen.tsx:93,translated
Open communication,ክፍት ግንኙነት,components/ProfileSheet.tsx:14,translated
Open to a partner with children,ልጆክ ለአሉት አጋር ክፍት,onboarding/OnboardingFlow.tsx:652,translated
Open to discussion,ለውይይት ክፍት,onboarding/OnboardingFlow.tsx:637,translated
Open to someone living abroad,በውጭ ለሚኖር ሰው ክፍት,onboarding/OnboardingFlow.tsx:650,translated
"Optional. Do not add phone numbers, usernames, links, or identifying details.","አማራጭ ነው ። ስልክ ቁጥሮክን , የተጠቃሚ ስመዎክን , መገናኛዎክን ወይም ማንነት የሚግለጹ ዝርዝሮክን አይጨምሩ ።",onboarding/OnboardingFlow.tsx:655,translated
Other,ልላ,onboarding/OnboardingFlow.tsx:575,translated
PASS,ተመለሰ,components/DiscoveryCard.tsx:78,translated
Pass privately,በስውር ያልፉ,components/DiscoveryCard.tsx:119,translated
Passed privately,በስውር ተላልፏል,components/DiscoverScreen.tsx:84,translated
Patience,ትእግስት,components/DiscoveryCard.tsx:22,translated
Pending administrator verification,የአስተዳዳሪ ማረጋግጫ በመጠባበቅ ላይ,onboarding/OnboardingFlow.tsx:443,translated
Pending review,ግምገማ በመጠባበቅ ላይ,components/ConnectionsScreen.tsx:173,translated
Permanently erase your account and all personal data.,መለያዎንና ሁሉንም የግል መረጃ በኳሚነት ያጥፉ ።,components/PrivacyScreen.tsx:106,translated
Please write a short message.,እባክዎ አጭር መልእክት ይጻፉ ።,components/FeedbackScreen.tsx:39,translated
Preferences,ምርጫዎክ,onboarding/OnboardingFlow.tsx:54,translated
Preferences are matching-only,ምርጫዎክ ለማጣመር ብቻ ነው,onboarding/PublicPreview.tsx:63,translated
Preparing…,በመዘጋጃት ላይ …,components/PrivacyScreen.tsx:102,translated
Preview,ቅድመ-እይታ,PilotDisabledScreen.tsx:11,translated
Preview only,ቅድመ-እይታ ብቻ,PilotDisabledScreen.tsx:15,translated
Primary navigation,ዋና አሳሳ,App.tsx:97,translated
Privacy & your data,ግላዊነትና መረጃዎ,components/PrivacyScreen.tsx:75,translated
Private admin review,የአስተዳዳሪ የግል ግምገማ,components/ConnectionsScreen.tsx:183,translated
Private by default,በነባሪ ግላዊ,onboarding/OnboardingFlow.tsx:501,translated
Private by default.,በነባሪ ግላዊ ።,components/PrivacyScreen.tsx:90,translated
Private by design,በንድፍ ግላዊ,components/ConnectionsScreen.tsx:91,translated
Private identity,የግል ማንነት,onboarding/OnboardingFlow.tsx:51,translated
Private identity processing,የግል ማንነት መረጃ አያያዝ,onboarding/OnboardingFlow.tsx:673,translated
Private note,የግል ማስታዋሻ,components/RealHomeGate.tsx:94,translated
Private review,የግል ግምገማ,onboarding/OnboardingFlow.tsx:440,translated
Profile,መገለጫ,App.tsx:105,translated
Profile decisions,የመገለጫ ውሳኔኦክ,components/DiscoveryCard.tsx:118,translated
Profile discovery,የመገለጫ ፍለጋ,components/DiscoverScreen.tsx:164,translated
Profile review,የመገለጫ ግምገማ,onboarding/OnboardingFlow.tsx:440,translated
Profile settings,የመገለጫ ቅንብሮክ,components/MyProfileScreen.tsx:47,translated
Prototype complete,ናሙና ተጠናኳል,onboarding/OnboardingFlow.tsx:421,translated
"Prototype mode: submitting will not upload, persist, or transmit any information.","የናሙና ሁነታ ፦ ማስገባት ምንም መረጃ አይጨንም , አያስቀመጥም ወይም አይልክም ።",onboarding/OnboardingFlow.tsx:685,translated
Public profile,የሕዝብ መገለጫ,onboarding/OnboardingFlow.tsx:52,translated
"Reach out when you're both ready. Kindly, and at your own pace.",ሁለታክሁም ዝግጁ ሲሆኑ በእክብሮትና በረእስዎ ፍጥነት ይገናኙ ።,components/PairingScreen.tsx:361,translated
Readiness,ዝግጁ መሆን,components/PairingScreen.tsx:268,translated
Ready means you're open to meeting this person. Not yet keeps things exactly as they are.,ዝግጁ ማለት ይህን ሰው ለመገናኛጥ ክፍት መሆን ነው ። ገና ማለት ግን ነገሮክ እንደሉበት እንዲቆዩ ያደርጋል ።,components/PairingScreen.tsx:56,translated
Ready to meet,ለመገናኛጥ ዝግጁ,components/PairingScreen.tsx:259,translated
"Ready, not yet, or a respectful close are all honest answers.","ዝግጁ , ገና አለመሆን ወይም በእክብሮት መዝጋት ሁሉም ቅን መልሶክ ናቼው ።",components/PairingScreen.tsx:228,translated
Refresh,ያድሱ,components/DiscoverScreen.tsx:189,translated
Refresh status,ሁኔታውን ያድሱ,components/RealHomeGate.tsx:137,translated
Reload latest,የቅርቡን ይጫኑ,onboarding/OnboardingFlow.tsx:485,translated
Reopen profile,መገለጫዎን እንደገና ይክፈጡ,components/RealHomeGate.tsx:118,translated
"Reopen your profile below, make the change, and submit again.","በታች መገለጫዎን እንደገና ይክፈጡ , ለውጥዎን ያድርጉና እንደገና ያስገቡ ።",components/ReviewStatusCard.tsx:95,translated
Request accepted,ጥያቄ ተቀብለዋል,components/ConnectionsScreen.tsx:13,translated
Request declined quietly.,ጥያቄ በዝምታ ተመልሏል ።,components/RequestsScreen.tsx:70,translated
Request sent,ጥያቄ ተልክሏል,components/RequestsScreen.tsx:175,translated
Restoring your saved progress.,የተቀመጠዎን ሂደትዎን በመመለስ ላይ ።,onboarding/OnboardingFlow.tsx:387,translated
Restricted introduction,የተገደበ ትውውቅ,components/ConnectionsScreen.tsx:185,translated
Restricted introductions.,የተገደቡ ትውውቆክ ።,components/PrivacyScreen.tsx:92,translated
Retry,እንደገና ይሞክሩ,onboarding/OnboardingFlow.tsx:396,translated
Retrying…,እንደገና በመሞከረ ላይ …,onboarding/OnboardingFlow.tsx:396,translated
Review,ግምገማ,onboarding/OnboardingFlow.tsx:449,translated
Review incoming requests & your shortlist,ገቢ ጥያቄዎክንና የግል ምርጫ ዝርዝርዎን ይመልከቱ,components/ConnectionsScreen.tsx:101,translated
Review result,የግምገማ ውጥኔ,components/RealHomeGate.tsx:89,translated
"Review the age range and select at least one status, value, and marriage intention.","የዕድም ክልሉን ይመልከቱና ቢያንስ አንድ ሁኔታ , እሴትና የጋብቻ ዓላማ ይምረጡ ።",onboarding/OnboardingFlow.tsx:244,translated
"Review the private note below, reopen your profile, make the change, and submit again.","በታች ያለዎን የግል ማስታዋሻ ይመልከቱ , መገለጫዎን እንደገና ይክፈጡ , ለውጥዎን ያድርጉና እንደገና ያስገቡ ።",components/RealHomeGate.tsx:110,translated
Review your draft,ርቂቅዎን ይመልከቱ,PilotDisabledScreen.tsx:30,translated
Saving…,በመስቀመጥ ላይ …,components/PairingScreen.tsx:279,translated
Secondary school,ሁለተኛ ደረጃ ትምህርት,onboarding/OnboardingFlow.tsx:579,translated
Secure photo upload is being prepared,የተጠበቀ የፎቶ ጭነት በመዘጋጃት ላይ,onboarding/OnboardingFlow.tsx:562,translated
See your next step,ቀጣዩን ደረጃዎ ይመልከቱ,components/PairingScreen.tsx:428,translated
Seeking work,ሥራ በመፈለግ ላይ,onboarding/OnboardingFlow.tsx:584,translated
Self-employed,የረእስ ሥራ,onboarding/OnboardingFlow.tsx:584,translated
Send,ይላኩ,components/IntroductionScreen.tsx:174,translated
Send a formal introduction?,የትውውቅ ጥያቄ ይላኩ ?,components/DiscoverScreen.tsx:208,translated
Send an introduction request,የትውውቅ ጥያቄ ይላኩ,components/DiscoverScreen.tsx:206,translated
Send request,ጥያቄ ይላኩ,components/DiscoverScreen.tsx:218,translated
Send to operator,ለአስተዳዳሪ ይላኩ,components/FeedbackScreen.tsx:110,translated
Send up to 5 deliberate requests a day. Declines are silent and requests expire after 72 hours.,"በቀን እስከ 5 የተቃዱ ጥያቄዎክ ይላኩ ። መመለስ ዝምታ ነው , ጥያቄዎክም ከ72 ሰአት በኋላ ያበቃሉ ።",components/ConnectionsScreen.tsx:102,translated
Sending…,በመላክ ላይ …,components/FeedbackScreen.tsx:110,translated
Service,አገልግሎት,components/DiscoveryCard.tsx:23,translated
Service temporarily unavailable,አገልግሎቱ ለጊዜዎ አይገኝም,auth/AuthStatusBar.tsx:12,translated
Session expired,ክፍለ-ጊዜዎ አልኳል,auth/AuthGate.tsx:76,translated
"Share context, not your identity.","አውድ ያጋሩ , ማንነትዎን አይደለም ።",onboarding/OnboardingFlow.tsx:570,translated
"Share your character, family intentions, and what a faithful partnership means to you.","ባህሪዎን , የቤተሰብ ዓላማዎክዎንና ታማኝ የህብረት ትርጉም ለእርስዎ ምን እንደሆነ ያጋሩ ።",onboarding/OnboardingFlow.tsx:639,translated
Sign out,ይውጡ,auth/AuthStatusBar.tsx:36,translated
Signed in,ገብተወል,auth/AuthStatusBar.tsx:9,translated
Signed out,ወጥተወል,auth/AuthGate.tsx:69,translated
Signing out…,በመውጠት ላይ …,auth/AuthStatusBar.tsx:33,translated
Sister,እህት,components/RequestsScreen.tsx:123,translated
Something didn't complete. Nothing is lost — please try again.,አንድ ነገር አልተጠናቀቀም ። ምንም አልጠፋም — እባክዎ እንደገና ይሞክሩ ።,components/PairingScreen.tsx:127,translated
Something went wrong. Please try again.,ችግር ተፈጥሯል ። እባክዎ እንደገና ይሞክሩ ።,components/PrivacyScreen.tsx:41,translated
Start your profile,መገለጫዎን ይጀምሩ,onboarding/IntroScreens.tsx:108,translated
Student,ተመሪ,onboarding/OnboardingFlow.tsx:584,translated
Submission not enabled in this preview,በዚህ ቅድመ-እይታ ማስገባት አልነቃም,onboarding/OnboardingFlow.tsx:446,translated
Submitted,ገብቷል,onboarding/OnboardingFlow.tsx:421,translated
"Submitting sends your public profile and consent for private administrator review. Your name, phone, photo, and contact details stay hidden and are never shown in discovery.","ማስገባት የሕዝብ መገለጫዎንና ለአስተዳዳሪ የግል ግምገማ የሚሆን ፈቃድዎን ይልካል ። ስምዎ , ስልክዎ , ፎቶዎና የመገናኛ መረጃዎ ግን ተደብቀው ይቆያሉ , በፍለጋመ በፍጹም አይታዩም ።",onboarding/OnboardingFlow.tsx:683,translated
Swipe or choose,ያንሸራጡ ወይም ይምረጡ,components/DiscoveryCard.tsx:122,translated
Take the time you need. We'll keep checking in gently.,የሚያስፈልግዎትን ጊዜ ይውሰዱ ። በእክብሮት እየጠያቅን እንቀጥላለን ።,components/PairingScreen.tsx:54,translated
"Telegram launch data is sent securely to Kidan to authenticate your session. The current API retains the validated Telegram ID and authentication date for account and session security. Telegram names and usernames are not added to your public draft or shown in discovery. This preview does not collect Kidan private identity, verification-photo, or submission-consent details.","የTelegram መነሻ መረጃ ክፍለ-ጊዜዎን ለማረጋገጥ ወደ Kidan በደህንነት ይላካል ። የአሁኑ API ለመለያና ለክፍለ-ጊዜ ደህንነት ሲባል የተረጋገጠዎን የTelegram መታወቂያና የማረጋግጫ ቀን ይዞ ይቆያል ። የTelegram ስመዎክና የተጠቃሚ ስመዎ ወደ የሕዝብ ርቂቅዎ አይጨመሩም , በፍለጋመ አይታዩም ። ይህ ቅድመ-እይታ የKidan የግል ማንነት , የማረጋግጫ ፎቶ ወይም የማስገባት ፈቃድ መረጃዎክን አይሰበስብም ።",PilotDisabledScreen.tsx:27,translated
Tell us what\u2019s on your mind. This goes privately to the operator.,በአአምሮዎ ውስጥ ያለዎን ይንገሩን ። ይህ በስውር ለአገልግሎት ሰጪው ይደርሳል ።,components/FeedbackScreen.tsx:99,translated
Thank you for trying with sincerity.,በቅንነት ስለሞከሩ አመሰግናለሁ ።,components/PairingScreen.tsx:381,translated
Thanks — got it,አመሰግናለሁ — ግልስ ነው,components/FeedbackScreen.tsx:68,translated
That request is no longer available.,ያ ጥያቄ ከአሁን በኋላ አይገኝም ።,components/RequestsScreen.tsx:75,translated
The information is accurate,መረጃዎ ትክክል ነው,onboarding/OnboardingFlow.tsx:672,translated
"The moment they do, the reveal happens for you both at once. Nothing is shared until then.",ወዲያውኑ መገለጫው ለሁለታክሁም በአንድ ጊዜ ይካህዳል ። እስከዚያዎ ድረስ ምንም አይጋራም ።,components/PairingScreen.tsx:349,translated
The next step unlocks after {parts} — keep chatting.,ቀጣዩ ደረጃ ከ{parts} በኋላ ይከፈታል — ቻትን ይቀጥሉ ።,components/PairingScreen.tsx:455,translated
The next step unlocks after {parts} — the bot will ask you both when it's time.,ቀጣዩ ደረጃ ከ{parts} በኋላ ይከፈታል — ጊዜዎ ሲደረስ ቦቱ ሁለታክሁም ይጠይቃል ።,components/PairingScreen.tsx:39,translated
The pilot is open to candidates aged 21–45. Enter a valid date of birth.,ፓይላቱ ለ21-45 ዕደሜ ያላቸው እቹዎክ ክፍት ነው ። ትክክለኛ የልደት ቀን ያስገቡ ።,onboarding/OnboardingFlow.tsx:221,translated
The private verification photo cannot later become a discovery photo without a separate upload and a new consent.,የግሉ የማረጋግጫ ፎቶ ያለ ተጫማሪ ቻነትና አዲስ ፈቃድ በፍስጹም የፍለጋ ፎቶ አይሆንም ።,onboarding/OnboardingFlow.tsx:664,translated
"The readiness loop and reveal happen here — gentle, and always at both your paces.",የዝግጁነት ዑደትና መገለጫው እዚህ ይከናወናሉ — በለስላሳና ሁልጊዜ በሁለታክሁም ፍጥነት ።,components/PairingScreen.tsx:429,translated
The reveal,መገለጫው,components/PairingScreen.tsx:358,translated
Their name and contact details are shown only when you choose to see them.,ስማቸውና የመገናኛ መረጃቸው የሚታዩት ለማያት ሲመረጡ ብቻ ነው ።,components/PairingScreen.tsx:301,translated
They accepted your introduction. Both of you confirm before an administrator reviews.,ትውውቅዎን ተቀብለዋል ። አስተዳዳሪ ግምገማ ከማደረጉ በፊት ሁለታክሁም ያረጋግጡ ።,components/ConnectionsScreen.tsx:14,translated
"They accepted. Both of you confirm next, then an administrator approves.","ተቀብለዋል ። ቀጥሎ ሁለታክሁም ያረጋግጡ , ከዚያ አስተዳዳሪ ይጸድቃል ።",components/RequestsScreen.tsx:178,translated
They can review your values-only summary. You’ll see it here if they accept — otherwise it quietly expires.,በእሴት የተዘጋጀዎን ማጠቃላያዎን ማያት ይችላሉ ። ቢቀበሉት እዚህ ያዩታል — ከልሆነ ግን በዝምታ ያበቃል ።,components/RequestsScreen.tsx:179,translated
They're ready for the next step. Answer honestly — not yet is a good answer.,እሳቸው ለቀጣዩ ደረጃ ዝግጁ ናቼው ። በቅንነት ይመልሱ — ገና መልካም ምልስ ነው ።,components/PairingScreen.tsx:445,translated
They've said ready for the next step. There's no pressure — answer honestly.,እሳቸው ለቀጣዩ ደረጃ ዝግጁ መሆናቸዎን ገልጸወል ። ምንም ጫና የለም — በቅንነት ይመልሱ ።,components/PairingScreen.tsx:51,translated
"This conversation stays inside Kidan. Names, phone numbers, Telegram handles, and links are not shared — get to know each other through values first.","ይህ ውይይት በKidan ውስጥ ይቆያል ። ስመዎክ , ስልክ ቁጥሮክ , የTelegram መለያዎክና መገናኛዎክ አይጋሩም — በመጀመሪያ በእሴትዎክ በኩል እርስ በእርስ ይተዋወቁ ።",components/IntroductionScreen.tsx:122,translated
This introduction was declined. No further steps are needed.,ይህ ትውውቅ ተመልሏል ። ተጫማሪ ደረጃዎክ አያስፈልጉም ።,components/ConnectionsScreen.tsx:30,translated
This is a local prototype. Use the synthetic sample—not real personal information.,ይህ በአካባቢ የተሠረ ናሙና ነው ። ሰው ሰራሽ ናሙናዎን ይጠቀሙ — እውነተኛ የግል መረጃን አይደለም ።,onboarding/OnboardingFlow.tsx:523,translated
This message was removed by a moderator.,ይህ መልእክት በተቆጣጣሪ ተወግጏል ።,components/IntroductionScreen.tsx:152,translated
This pairing has already been closed.,ይህ ማጣመር ቀድሞ ተዘግቷል ።,components/PairingScreen.tsx:126,translated
This pairing has been respectfully closed.,ይህ ማጣመር በእክብሮት ተዘግቷል ።,components/PairingScreen.tsx:376,translated
This pairing has moved forward.,ይህ ማጣመር ወደፊት አምርቷል ።,components/PairingScreen.tsx:300,translated
This pairing is not visible here. It may have been closed by an administrator.,ይህ ማጣመር እዚህ አይጣይም ። በአስተዳዳሪ ተዘግቶ ሊሆን ይቻላል ።,components/PairingScreen.tsx:84,translated
This path has been quiet — a decision moves things forward either way.,ይህ መንገድ ጸጥ ብሏል — ውሳኔ ግን ነገሮክን በማንኛውመ አቅጣጫ ያንቀሳቅሳል ።,components/PairingScreen.tsx:227,translated
"This preview saves only your public profile sections. Identity, verification, and review are disabled.","ይህ ቅድመ-እይታ የሕዝብ መገለጫ ክፍሎክዎን ብቻ ያስቀመታል ። ማንነት , ማረጋገጥና ግምገማ ተሰናከለወል ።",onboarding/OnboardingFlow.tsx:489,translated
"Thoughtful, not endless.","ጥቂት,ግን በአላማ።",components/DiscoverScreen.tsx:187,translated
Today’s introductions are complete,የዛሬ ትውውቆክ ተጠናኳል,components/DiscoverScreen.tsx:186,translated
Tradition,ወግ,components/DiscoveryCard.tsx:24,translated
Update requested,ማስተካከያ ተጠይኳል,components/RealHomeGate.tsx:108,translated
Upload verification photo,የማረጋግጫ ፎቶ ይጫኑ,onboarding/OnboardingFlow.tsx:557,translated
Upload your private verification photo,የግልዎን የማረጋግጫ ፎቶ ይጫኑ,onboarding/OnboardingFlow.tsx:549,translated
Upload your private verification photo to continue.,ለመቀጥል የግልዎን የማረጋግጫ ፎቶ ይጫኑ ።,onboarding/OnboardingFlow.tsx:227,translated
Use synthetic sample data for this prototype,ለዚህ ሰው ሰራሽ ናሙና መረጃ ይጠቀሙ,onboarding/OnboardingFlow.tsx:515,translated
Used only to verify identity. It is never shown in discovery and is deleted 30 days after approval.,"ማንነትን ለማረጋገጥ ብቻ ይጠቀመል ። በፍለጋ በፍጹም አይታይም , ከጸደቀ 30 ቀን በኋላ ይወገዳል ።",onboarding/OnboardingFlow.tsx:539,translated
Values that matter,ትርጉም ያላቸው እሴቶክ,components/ProfileSheet.tsx:66,translated
Values-only introduction,በእሴት ትውውቅ,components/IntroductionScreen.tsx:129,translated
Verification photo.,የማረጋግጫ ፎቶ ።,components/PrivacyScreen.tsx:91,translated
"Verification, consent, and review remain disabled in this preview.","ማረጋግጫ, ፈቃድና ግምገማ በዚህ ቅድመ-እይታ አልነቁም።",PilotDisabledScreen.tsx:22,translated
Verification-photo processing,የማረጋግጫ ፎቶ አያያዝ,onboarding/OnboardingFlow.tsx:676,translated
Verified,የተረጋገጠ,onboarding/OnboardingFlow.tsx:504,translated
"Verify the person, protect the identity.","ሰውን ያረጋግጡ , ማንነቱን ይጠብቁ ።",onboarding/OnboardingFlow.tsx:522,translated
Visible in the full discovery profile,በሙሉዎ የፍለጋ መገለጫ ውስጥ ይታያል,onboarding/PublicPreview.tsx:50,translated
Waiting,በመጠባበቅ ላይ,components/PairingScreen.tsx:347,translated
Waiting for their confirmation,የእሳቸው ማረጋግጫ በመጠባበቅ ላይ,components/ConnectionsScreen.tsx:162,translated
Waiting for them to confirm.,እሳቸው እንዲያረጋግጡ በመጠባበቅ ላይ ።,components/PairingScreen.tsx:348,translated
Waiting on their answer,ምልሳቸዎን በመጠባበቅ ላይ,components/PairingScreen.tsx:448,translated
Waiting on their heart,ልብቸዎን በመጠባበቅ ላይ,components/PairingScreen.tsx:48,translated
We couldn't load your journey right now. Please try again.,አሁን ጉዞዎን መቻን አለቻልንም ። እባክዎ እንደገና ይሞክሩ ።,components/PairingScreen.tsx:86,translated
We couldn’t save your progress. Please retry.,ሂደትዎን መስቀመጥ አለቻልንም ። እባክዎ እንደገና ይሞክሩ ።,onboarding/OnboardingFlow.tsx:340,translated
"We do not sell personal data, show ads, or use your information for AI training.","የግል መረጃን አንሸጥም , ማስታዋቂያ አናሳይም , መረጃዎንመ ለAI ስልጠና አንጠቀመምበትም ።",components/PrivacyScreen.tsx:93,translated
We're together,አብረን ነን,components/PairingScreen.tsx:364,translated
What\u2019s this about?,ይህ ስለ ምንድን ነው ?,components/FeedbackScreen.tsx:77,translated
"When two people independently choose each other and an administrator approves, the introduction appears here. Names and contact details remain private throughout.",ሁለት ሰዎክ በነጻ ሁነተ እርስ በእርስ ሲመረጡና አስተዳዳሪ ሲጸድቅ ትውውቅው እዚህ ይታያል ። ስመዎክና የመገናኛ መረጃዎክ ሙሉ ጊዜዎንመ ግላዊ ሆነው ይቆያሉ ።,components/ConnectionsScreen.tsx:117,translated
"When you each confirm, Kidan reveals your names and contact details to one another — at the same time, so no one is left waiting after revealing theirs.","ሁለታክሁም ሲያረጋግጡ , Kidan ስመዎክንና የመገናኛ መረጃዎክን ለሁለታክሁም ይገለጻል — በአንድ ጊዜ , ስለዚህ የረሱን ከገለጻ በኋላ መንመ ጠባቂ ሆኖ አይቀርም ።",components/PairingScreen.tsx:330,translated
Where do you two stand?,ሁለታክሁ በየተኛው ደረጃ ላይ ናቸሁ ?,components/PairingScreen.tsx:457,translated
With the administrator,በአስተዳዳሪ እጅ,components/ConnectionsScreen.tsx:17,translated
Woman,ሴት,onboarding/PublicPreview.tsx:52,translated
Work,ሥራ,components/ProfileSheet.tsx:53,translated
Would like children,ልጆክ ይፈልጋሉ,onboarding/OnboardingFlow.tsx:637,translated
Write a short greeting (no contact details)…,አጭር ሰላምታ ይጻፉ ( ያለ መገናኛ መረጃ ) …,components/IntroductionScreen.tsx:170,translated
Yes,አዎ,components/RequestsScreen.tsx:130,translated
"Yes, I'm ready","አዎ , ዝግጁ ነኝ",components/PairingScreen.tsx:279,translated
You both confirmed. An administrator will review before the introduction opens.,ሁለታክሁም አረጋግጠወል ። ትውውቅው ከመከፈቱ በፊት አስተዳዳሪ ይገመግማል ።,components/ConnectionsScreen.tsx:18,translated
"You can download everything we hold about you, or permanently delete your account and all of your data, at any time below.",ስለ እርስዎ ያለን ነገር ሁሉ ማውረድ ወይም መለያዎንና መረጃዎን ሁሉ በኳሚነት ማጥፋት በማንኛውመ ጊዜ በታች ይችላሉ ።,components/PrivacyScreen.tsx:94,translated
You can send {n} more today. Requests expire after 72 hours.,ዛሬ ተጫማሪ {n} መላክ ይችላሉ ። ጥያቄዎክ ከ72 ሰአት በኋላ ያበቃሉ ።,components/DiscoverScreen.tsx:210,translated
"You haven’t sent any introduction requests yet. Right-swipe someone on Discover to add them to your private shortlist, then send a request from there.","እስካሁን ምንም የትውውቅ ጥያቄ አልላኩም ። በፍለጋ ላይ አንድ ሰውን ወደ ቀኝ ያንሸራጡ , ወደ የግል ምርጫ ዝርዝርዎ ለመጨመር , ከዚያመ ጥያቄ ይላኩ ።",components/RequestsScreen.tsx:168,translated
You're both ready,ሁለታክሁም ዝግጁ ናቸሁ,components/PairingScreen.tsx:45,translated
You're both ready — confirm to reveal your names to each other at the same time.,ሁለታክሁም ዝግጁ ናቸሁ — ስሞቻቸሁን ለአንደንደቸሁ በአንድ ጊዜ ለመግለጽ ያረጋግጡ ።,components/PairingScreen.tsx:441,translated
You're both ready.,ሁለታክሁም ዝግጁ ናቸሁ ።,components/PairingScreen.tsx:329,translated
You're walking forward together.,አብራቸሁ ወደፊት እየሄዳቸሁ ነው ።,components/PairingScreen.tsx:392,translated
You've said ready. They'll answer the same question in their own time.,ዝግጁ መሆንዎን ገልጸወል ። እሳቸው ተመሳሳይ ጥያቄን በረሳቸው ጊዜ ይመልሳሉ ።,components/PairingScreen.tsx:48,translated
You've said ready. We'll let you know the moment they answer too.,ዝግጁ መሆንዎን ገልጸወል ። እሳቸውም ሲመልሱ ወዲያውኑ እንናሳውቅዎታል ።,components/PairingScreen.tsx:449,translated
Your account and data have been deleted. You can close Kidan.,መለያዎና መረጃዎ ተወግደወል ። Kidanን መዝጋት ይችላሉ ።,components/PrivacyScreen.tsx:60,translated
Your city,ከተማዎ,onboarding/PublicPreview.tsx:37,translated
Your connections,ግንኙነቶክዎ,components/ConnectionsScreen.tsx:92,translated
Your data bundle has been downloaded.,የመረጃ ጥቅልዎ ወርሯል ።,components/PrivacyScreen.tsx:37,translated
Your data promise,የመረጃ ቃል ኪዳን,components/MyProfileScreen.tsx:73,translated
"Your details remain hidden and are not published. You can review any private note below, or delete your account and all data from Privacy & consent.","መረጃዎ ተደብቆ ይቆያል , ለሕዝብመ አይቀርብም ። በታች ያለዎን የግል ማስታዋሻ ማያት ወይም ከግላዊነትና ፈቃድ ክፍል መለያዎንና መረጃዎን ሁሉ ማጥፋት ይችላሉ ።",components/RealHomeGate.tsx:91,translated
Your draft is saved,ርቂቅዎ ተቀምግቷል,PilotDisabledScreen.tsx:15,translated
"Your information, your choices.","መረጃዎ , ምርጫዎክዎ ።",onboarding/OnboardingFlow.tsx:670,translated
Your introductions and shortlist,ትውውቆክዎና የግል ምርጫ ዝርዝርዎ,components/DiscoverScreen.tsx:154,translated
Your legal identity is never part of your discovery card.,የሕግጋዊ ማንነትዎ በፍጹም የፍለጋ ካርድዎ አካል አይደለም ።,components/MyProfileScreen.tsx:45,translated
Your message,መልእክትዎ,components/FeedbackScreen.tsx:95,translated
Your message could not be sent. Keep it free of contact details and try again.,መልእክትዎ መላክ አልተቻለም ። ከመገናኛ መረጃ ነጻ ያድርጉትና እንደገና ይሞክሩ ።,components/IntroductionScreen.tsx:93,translated
Your message was sent privately to the Kidan operator.,መልእክትዎ በስውር ለKidan አስተዳዳሪ ተልክሏል ።,components/FeedbackScreen.tsx:69,translated
"Your name, phone number, and verification photo are never shown in discovery.","ስምዎ , ስልክ ቁጥርዎና የማረጋግጫ ፎቶዎ በፍለጋ በፍጹም አይታዩም ።",components/PrivacyScreen.tsx:83,translated
"Your photo is used only for administrator verification, is never used in discovery, and is permanently deleted 30 days after your profile is approved.","ፎቶዎ የሚጠቀመመው ለአስተዳዳሪ ማረጋግጫ ብቻ ነው , በፍለጋ በፍጹም አይጠቀምም , መገለጫዎ ከጸደቀ ከ30 ቀን በኋላመ በኳሚነት ይወገዳል ።",components/PrivacyScreen.tsx:91,translated
Your private details are used only for administrator verification and never appear in discovery.,"የግልዎ መረጃዎ የሚጠቀመመው ለአስተዳዳሪ ማረጋግጫ ብቻ ነው , በፍለጋመ በፍጹም አይታይም ።",onboarding/OnboardingFlow.tsx:492,translated
Your private reference code,የግልዎ የማጣቃሻ ኮድ,components/MyProfileScreen.tsx:39,translated
Your profile,መገለጫዎ,components/MyProfileScreen.tsx:35,translated
Your profile could not be approved for this pilot,መገለጫዎ ለዚህ ፓይላት መጽደቅ አልቻለም,components/RealHomeGate.tsx:90,translated
